# 5MPH-SA (Up to date)
# 2969 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24.5 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.538166,0.019181,9.590705,-0.000002,0,0.000002,3.141593,0.002005,1.002502,0.575786,1.867068,9.791353,1.473752,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.007422,485151.74938,4.60824,0.000076,0.546952,0.001185,0.466538,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.487429,279.056292,85630.011309,334.878113,0.002,0.004903
0.004,-0.000018,-0.018492,-9.245752,0.018593,9.29668,-0.000002,0,0.000002,3.141593,0.001944,0.971768,0.575786,1.867068,9.791353,1.473522,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.007417,484800.215891,13.82472,0.000077,0.547024,0.001193,0.466611,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.485571,279.056292,85630.011303,334.878113,0.002,0.006101
0.006,-0.000018,-0.017907,-8.953337,0.018005,9.002654,-0.000002,0,0.000002,3.141593,0.001882,0.941034,0.575786,1.867068,9.791353,1.473292,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.007411,484448.7081,23.0412,0.000077,0.547096,0.001202,0.466683,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.483713,279.056292,85630.011297,334.878113,0.002,0.007193
0.008,-0.000017,-0.017322,-8.66092,0.017417,8.708627,-0.000002,0,0.000002,3.141593,0.001821,0.910299,0.575786,1.867068,9.791353,1.473061,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.007406,484097.226063,32.25768,0.000078,0.547169,0.00121,0.466755,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.481855,279.056292,85630.01129,334.878113,0.002,0.008247
0.01,-0.000017,-0.016737,-8.368503,0.016829,8.414599,-0.000002,0,0.000002,3.141593,0.001759,0.879565,0.575786,1.867068,9.791353,1.47283,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.007401,483745.769837,41.47416,0.000078,0.547241,0.001219,0.466828,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.479997,279.056292,85630.011284,334.878113,0.002,0.009465
0.012,-0.000016,-0.016152,-8.076085,0.016241,8.120571,-0.000002,0,0.000002,3.141593,0.001698,0.848831,0.575786,1.867068,9.791353,1.472599,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.007395,483394.339477,50.69064,0.000078,0.547314,0.001228,0.4669,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.478139,279.056292,85630.011278,334.878113,0.002,0.010864
0.014,-0.000016,-0.015567,-7.783666,0.015653,7.826541,-0.000002,0,0.000002,3.141593,0.001636,0.818096,0.575786,1.867068,9.791353,1.472367,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.00739,483042.935041,59.90712,0.000079,0.547386,0.001236,0.466973,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.476281,279.056292,85630.011272,334.878113,0.002,0.011869
0.016,-0.000015,-0.014982,-7.491246,0.015065,7.53251,-0.000002,0,0.000002,3.141593,0.001575,0.787362,0.575786,1.867068,9.791353,1.472135,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.007384,482691.556585,69.1236,0.000079,0.547459,0.001245,0.467046,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.474423,279.056292,85630.011266,334.878113,0.002,0.012831
0.018,-0.000014,-0.014398,-7.198826,0.014477,7.238479,-0.000002,0,0.000002,3.141593,0.001513,0.756627,0.575786,1.867068,9.791353,1.471903,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.007379,482340.204166,78.34008,0.00008,0.547532,0.001254,0.467118,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.472565,279.056292,85630.011259,334.878113,0.002,0.013866
0.02,-0.000014,-0.013813,-6.906404,0.013889,6.944446,-0.000001,0,0.000001,3.141593,0.001452,0.725892,0.575786,1.867068,9.791353,1.47167,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.007374,481988.877842,87.55656,0.00008,0.547604,0.001263,0.467191,0.009975,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.470707,279.056292,85630.011253,334.878113,0.002,0.01479
