# 15MPH-SA (Up to date)
# 2994 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.538181,0.019181,9.59072,-0.000002,0,0.000002,3.141593,0.002005,1.002503,0.575786,1.867068,9.791353,1.468884,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.02029,1326279.196597,4.60824,0.000554,0.460909,0.001153,0.380381,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.796685,279.056292,85630.011309,334.878113,0.002,0.0033
0.004,-0.000018,-0.018492,-9.245767,0.018593,9.296695,-0.000002,0,0.000002,3.141593,0.001944,0.971769,0.575786,1.867068,9.791353,1.468797,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.020295,1326576.453611,13.82472,0.000556,0.460892,0.001156,0.380364,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.798148,279.056292,85630.011303,334.878113,0.002,0.003939
0.006,-0.000018,-0.017907,-8.953352,0.018005,9.002669,-0.000002,0,0.000002,3.141593,0.001882,0.941035,0.575786,1.867068,9.791353,1.468711,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.020299,1326873.720624,23.0412,0.000557,0.460876,0.001159,0.380348,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.799611,279.056292,85630.011297,334.878113,0.002,0.004537
0.008,-0.000017,-0.017322,-8.660936,0.017417,8.708642,-0.000002,0,0.000002,3.141593,0.001821,0.910301,0.575786,1.867068,9.791353,1.468624,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.020304,1327170.997631,32.25768,0.000559,0.460859,0.001162,0.380331,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.801074,279.056292,85630.01129,334.878113,0.002,0.005163
0.01,-0.000017,-0.016737,-8.368519,0.016829,8.414615,-0.000002,0,0.000002,3.141593,0.001759,0.879567,0.575786,1.867068,9.791353,1.468538,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.020308,1327468.284624,41.47416,0.000561,0.460843,0.001164,0.380315,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.802537,279.056292,85630.011284,334.878113,0.002,0.005772
0.012,-0.000016,-0.016152,-8.076101,0.016241,8.120586,-0.000002,0,0.000002,3.141593,0.001698,0.848832,0.575786,1.867068,9.791353,1.468451,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.020313,1327765.581598,50.69064,0.000562,0.460827,0.001167,0.380299,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.804,279.056292,85630.011278,334.878113,0.002,0.006407
0.014,-0.000016,-0.015567,-7.783682,0.015653,7.826556,-0.000002,0,0.000002,3.141593,0.001636,0.818098,0.575786,1.867068,9.791353,1.468365,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.020317,1328062.888545,59.90712,0.000564,0.46081,0.00117,0.380282,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.805463,279.056292,85630.011272,334.878113,0.002,0.007002
0.016,-0.000015,-0.014983,-7.491262,0.015065,7.532526,-0.000002,0,0.000002,3.141593,0.001575,0.787363,0.575786,1.867068,9.791353,1.468278,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.020322,1328360.205459,69.1236,0.000566,0.460794,0.001173,0.380266,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.806926,279.056292,85630.011266,334.878113,0.002,0.007602
0.018,-0.000014,-0.014398,-7.198841,0.014477,7.238494,-0.000002,0,0.000002,3.141593,0.001513,0.756629,0.575786,1.867068,9.791353,1.468192,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.020326,1328657.532333,78.34008,0.000567,0.460777,0.001176,0.380249,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.808389,279.056292,85630.011259,334.878113,0.002,0.008368
0.02,-0.000014,-0.013813,-6.906419,0.013889,6.944462,-0.000001,0,0.000001,3.141593,0.001452,0.725894,0.575786,1.867068,9.791353,1.468105,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.020331,1328954.869161,87.55656,0.000569,0.460761,0.001179,0.380233,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.809852,279.056292,85630.011253,334.878113,0.002,0.009099
