# 10MPH-SA (Up to date)
# 2972 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.538173,0.019181,9.590712,-0.000002,0,0.000002,3.141593,0.002005,1.002502,0.575786,1.867068,9.791353,1.469918,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.014828,969241.303764,4.60824,0.000302,0.484977,0.001177,0.404497,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.967522,279.056292,85630.011309,334.878113,0.002,0.00337
0.004,-0.000018,-0.018492,-9.245759,0.018593,9.296687,-0.000002,0,0.000002,3.141593,0.001944,0.971768,0.575786,1.867068,9.791353,1.469799,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.014835,969676.4772,13.82472,0.000304,0.484941,0.001181,0.404461,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.969692,279.056292,85630.011303,334.878113,0.002,0.004115
0.006,-0.000018,-0.017907,-8.953344,0.018005,9.002661,-0.000002,0,0.000002,3.141593,0.001882,0.941034,0.575786,1.867068,9.791353,1.46968,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.014841,970111.664496,23.0412,0.000305,0.484905,0.001185,0.404425,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.971862,279.056292,85630.011297,334.878113,0.002,0.004769
0.008,-0.000017,-0.017322,-8.660928,0.017417,8.708634,-0.000002,0,0.000002,3.141593,0.001821,0.9103,0.575786,1.867068,9.791353,1.46956,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.014848,970546.865634,32.25768,0.000306,0.484869,0.001189,0.404389,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.974033,279.056292,85630.01129,334.878113,0.002,0.005429
0.01,-0.000017,-0.016737,-8.368511,0.016829,8.414607,-0.000002,0,0.000002,3.141593,0.001759,0.879566,0.575786,1.867068,9.791353,1.469441,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.014855,970982.080594,41.47416,0.000307,0.484833,0.001193,0.404352,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.976203,279.056292,85630.011284,334.878113,0.002,0.0061
0.012,-0.000016,-0.016152,-8.076093,0.016241,8.120578,-0.000002,0,0.000002,3.141593,0.001698,0.848832,0.575786,1.867068,9.791353,1.469322,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.014861,971417.309358,50.69064,0.000309,0.484797,0.001198,0.404316,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.978373,279.056292,85630.011278,334.878113,0.002,0.006871
0.014,-0.000016,-0.015567,-7.783674,0.015653,7.826548,-0.000002,0,0.000002,3.141593,0.001636,0.818097,0.575786,1.867068,9.791353,1.469203,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.014868,971852.551908,59.90712,0.00031,0.484761,0.001202,0.40428,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.980543,279.056292,85630.011272,334.878113,0.002,0.007519
0.016,-0.000015,-0.014983,-7.491254,0.015065,7.532518,-0.000002,0,0.000002,3.141593,0.001575,0.787363,0.575786,1.867068,9.791353,1.469084,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.014875,972287.808226,69.1236,0.000311,0.484725,0.001206,0.404244,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.982713,279.056292,85630.011266,334.878113,0.002,0.008126
0.018,-0.000014,-0.014398,-7.198833,0.014477,7.238486,-0.000002,0,0.000002,3.141593,0.001513,0.756628,0.575786,1.867068,9.791353,1.468966,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.014881,972723.078293,78.34008,0.000313,0.484689,0.00121,0.404208,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.984884,279.056292,85630.011259,334.878113,0.002,0.008682
0.02,-0.000014,-0.013813,-6.906411,0.013889,6.944454,-0.000001,0,0.000001,3.141593,0.001452,0.725893,0.575786,1.867068,9.791353,1.468847,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.014888,973158.362091,87.55656,0.000314,0.484653,0.001214,0.404172,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.987054,279.056292,85630.011253,334.878113,0.002,0.009228
0.022,-0.000013,-0.013228,-6.613989,0.013301,6.65042,-0.000001,0,0.000001,3.141593,0.00139,0.695158,0.575786,1.867068,9.791353,1.468729,0,0,0,31.34548,8.458455,27.787735,0.113024,NaN,1.848141,NaN,0.014895,973593.659602,96.77304,0.000315,0.484617,0.001218,0.404136,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.989224,279.056292,85630.011247,334.878113,0.002,0.009774
0.024,-0.000013,-0.012643,-6.321565,0.012713,6.356386,-0.000001,0,0.000001,3.141593,0.001329,0.664423,0.575786,1.867068,9.791353,1.46861,0,0,0,31.34543,8.458406,27.787688,0.113024,NaN,1.848139,NaN,0.014901,974028.970807,105.98952,0.000317,0.484581,0.001222,0.404101,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.991394,279.056292,85630.011241,334.878113,0.002,0.010447
0.026,-0.000005,-0.005354,-2.676863,0.005383,2.691608,-0.000001,0,0.000001,3.141593,0.000563,0.28135,0.575786,1.867068,9.791353,1.467149,0,0,0,31.344805,8.457781,27.787096,0.113023,NaN,1.84812,NaN,0.01491,974599.555612,220.85919,0.000331,0.484534,0.001274,0.404053,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,4.993565,279.056292,85630.011163,334.878113,0.002,0.011115
0.028,0.000042,0.042163,21.082215,0.042396,21.198342,0.000004,0,0.000004,0,0.004432,2.21583,0.575786,1.867068,9.791353,1.457644,0,0,0,31.343605,8.45658,27.785957,0.113022,NaN,1.848084,NaN,0.014932,976032.145577,969.648,0.000429,0.484416,0.001647,0.403935,0.010029,0.070451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,4.995735,279.056292,85630.010658,334.878113,0.002,0.011775
0.03,0.000223,0.138552,48.195575,0.139315,48.461049,0.000023,0,0.000023,0,0.014562,5.065559,0.575786,1.867068,9.791353,1.438442,0,0,0,31.342404,8.45538,27.784818,0.11302,NaN,1.848048,NaN,0.014974,978772.223782,1824.09,0.000681,0.484191,0.002603,0.40371,0.01003,0.070452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,4.997905,279.056291,85630.008735,334.878112,0.002,0.012394
0.032,0.000648,0.286811,74.132943,0.288391,74.541288,0.000068,0,0.000068,0,0.030145,7.791686,0.575786,1.867068,9.791353,1.409121,0,0,0,31.340294,8.45327,27.782817,0.113018,NaN,1.847984,NaN,0.015045,983458.412511,2641.330208,0.001229,0.483809,0.004651,0.403327,0.01003,0.070452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000035,0.15748,0.019478,1.466077,0,5.000075,279.056288,85630.004211,334.87811,0.002,0.013046
0.034,0.001408,0.472787,92.993144,0.475392,93.505376,0.000148,0,0.000148,0,0.049692,9.773973,0.575786,1.867068,9.791353,1.372763,0,0,0,31.337274,8.45025,27.779951,0.113014,NaN,1.847893,NaN,0.015152,990411.517676,3235.359667,0.002234,0.483246,0.008336,0.402763,0.010031,0.070452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000058,0.15748,0.019478,1.466077,0,5.002245,279.056283,85629.996131,334.878107,0.002,0.013707
0.036,0.002575,0.694128,110.676204,0.697952,111.28584,0.000271,0,0.000271,0,0.072956,11.632538,0.575786,1.867068,9.791353,1.330209,0,0,0,31.334254,8.44723,27.777086,0.113011,NaN,1.847802,NaN,0.015303,1000285.620558,3792.187333,0.003964,0.482455,0.0145,0.401971,0.010032,0.070452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000086,0.15748,0.019478,1.466077,0,5.004416,279.056275,85629.983718,334.878103,0.002,0.014372
0.038,0.00422,0.951336,128.612411,0.956576,129.320844,0.000444,0,0.000444,0,0.099989,13.517709,0.575786,1.867068,9.791353,1.281892,0,0,0,31.330742,8.443718,27.773753,0.113006,NaN,1.847696,NaN,0.015511,1013916.881998,4356.815417,0.006804,0.481379,0.024221,0.400893,0.010033,0.070453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000117,0.15748,0.019478,1.466077,0,5.006586,279.056265,85629.966215,334.878096,0.002,0.015028
0.04,0.006414,1.242941,145.812917,1.249787,146.616095,0.000674,0,0.000674,0,0.130638,15.325555,0.575786,1.867068,9.791353,1.228787,0,0,0,31.32658,8.439556,27.769802,0.113001,NaN,1.84757,NaN,0.01579,1032093.869229,4898.042438,0.011223,0.479974,0.038557,0.399486,0.010035,0.070453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000153,0.15748,0.019478,1.466077,0,5.008756,279.05625,85629.942874,334.878088,0.002,0.015671
0.042,0.0092,1.542703,149.89217,1.551201,150.717818,0.000967,0,0.000967,0,0.162145,15.754302,0.575786,1.867068,9.791353,1.176255,0,0,0,31.322261,8.435236,27.765701,0.112996,NaN,1.84744,NaN,0.01612,1053690.647477,5025.8485,0.017204,0.478345,0.056708,0.397854,0.010037,0.070454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00019,0.15748,0.019478,1.466077,0,5.010926,279.056232,85629.913243,334.878077,0.002,0.016288
0.044,0.012588,1.845456,151.387424,1.855622,152.221309,0.001323,0,0.001323,0,0.193965,15.911459,0.575786,1.867068,9.791353,1.125475,0,0,0,31.317948,8.430923,27.761604,0.112991,NaN,1.84731,NaN,0.016497,1078326.719662,5072.250493,0.024806,0.47654,0.078072,0.396045,0.010039,0.070455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000228,0.15748,0.019478,1.466077,0,5.013096,279.05621,85629.877203,334.878063,0.002,0.016941
0.046,0.016581,2.146932,150.748639,2.158758,151.579004,0.001743,0,0.001743,0,0.225652,15.84432,0.575786,1.867068,9.791353,1.077281,0,0,0,31.31364,8.426616,27.757512,0.112986,NaN,1.84718,NaN,0.016912,1105496.593575,5051.449444,0.033983,0.474609,0.101762,0.394111,0.010042,0.070456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000265,0.15748,0.019478,1.466077,0,5.015267,279.056184,85629.834736,334.878048,0.002,0.017569
# Event LIFTOFF occurred at t=0.048 seconds
0.048,0.021174,2.446418,149.753851,2.459894,150.578737,0.002225,0,0.002225,0,0.257129,15.739764,0.575786,1.867068,9.791353,1.031794,0,0,0,31.309333,8.422309,27.753419,0.112981,NaN,1.847049,NaN,0.017362,1134907.340988,5019.447889,0.044706,0.472588,0.127027,0.392086,0.010045,0.070457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000302,0.15748,0.019478,1.466077,0,5.017437,279.056154,85629.785876,334.87803,0.002,0.01821
0.05,0.026364,2.743914,148.758741,2.759028,149.578146,0.002771,0,0.002771,0,0.288397,15.635174,0.575786,1.867068,9.791353,0.98897,0,0,0,31.305026,8.418002,27.749325,0.112975,NaN,1.846919,NaN,0.017843,1166330.301238,4987.446333,0.056943,0.470502,0.153195,0.389996,0.010047,0.070459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000338,0.15748,0.019478,1.466077,0,5.019607,279.056121,85629.730665,334.878009,0.002,0.018906
0.052,0.032148,3.03942,147.763311,3.056162,148.577233,0.003379,0,0.003379,0,0.319456,15.53055,0.575786,1.867068,9.791353,0.948334,0,0,0,31.300719,8.413694,27.74523,0.11297,NaN,1.846789,NaN,0.018339,1198723.780971,4955.444778,0.070661,0.468427,0.179965,0.387916,0.01005,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000375,0.15748,0.019478,1.466077,0,5.016905,279.056083,85629.669147,334.877986,0.002,0.01945
0.054,0.038521,3.334179,147.390275,3.352545,148.202142,0.004049,0,0.004049,0,0.350436,15.491342,0.575786,1.867068,9.791353,0.909991,0,0,0,31.296443,8.409418,27.741163,0.112965,NaN,1.84666,NaN,0.018862,1232900.855905,4943.0442,0.085855,0.466314,0.206706,0.385799,0.010054,0.070462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000411,0.15748,0.019478,1.466077,0,5.014204,279.056042,85629.601351,334.877961,0.002,0.020001
0.056,0.045485,3.629438,147.640043,3.64943,148.453286,0.004781,0,0.004781,0,0.381469,15.517594,0.575786,1.867068,9.791353,0.873706,0,0,0,31.292167,8.405142,27.737095,0.11296,NaN,1.84653,NaN,0.019412,1268854.275089,4950.2446,0.102547,0.464172,0.233102,0.383652,0.010057,0.070463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000447,0.15748,0.019478,1.466077,0,5.011502,279.055996,85629.527278,334.877934,0.002,0.020543
0.058,0.053039,3.925197,147.889834,3.946818,148.704453,0.005575,0,0.005575,0,0.412555,15.543848,0.575786,1.867068,9.791353,0.839408,0,0,0,31.28789,8.400866,27.733027,0.112955,NaN,1.846401,NaN,0.019987,1306450.411539,4957.445,0.120701,0.462014,0.258803,0.381489,0.01006,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000484,0.15748,0.019478,1.466077,0,5.0088,279.055947,85629.446918,334.877904,0.002,0.021137
0.06,0.061186,4.221455,148.139648,4.244708,148.955642,0.006431,0,0.006431,0,0.443693,15.570104,0.575786,1.867068,9.791353,0.807011,0,0,0,31.283614,8.39659,27.728957,0.11295,NaN,1.846272,NaN,0.020585,1345564.238495,4964.6454,0.140273,0.459853,0.283537,0.379323,0.010064,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00052,0.15748,0.019478,1.466077,0,5.006099,279.055894,85629.360261,334.877872,0.002,0.021702
0.062,0.069926,4.518213,148.389486,4.543101,149.206857,0.007349,0,0.007349,0,0.474883,15.596363,0.575786,1.867068,9.791353,0.776425,0,0,0,31.279338,8.392313,27.724886,0.112945,NaN,1.846142,NaN,0.021205,1386079.592433,4971.8458,0.161218,0.457699,0.307102,0.377163,0.010067,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000557,0.15748,0.019478,1.466077,0,5.003397,279.055837,85629.267296,334.877838,0.002,0.022363
0.064,0.079259,4.815471,148.639351,4.841996,149.458098,0.008331,0,0.008331,0,0.506126,15.622625,0.575786,1.867068,9.791353,0.747555,0,0,0,31.275062,8.388037,27.720814,0.11294,NaN,1.846013,NaN,0.021845,1427889.150284,4979.0462,0.183491,0.455559,0.329358,0.375017,0.010071,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000594,0.15748,0.019478,1.466077,0,5.000695,279.055777,85629.168013,334.877801,0.002,0.023029
0.066,0.089188,5.113229,148.889243,5.141394,149.709366,0.009374,0,0.009374,0,0.537422,15.64889,0.575786,1.867068,9.791353,0.720305,0,0,0,31.270785,8.383761,27.716741,0.112934,NaN,1.845883,NaN,0.022503,1470894.198701,4986.2466,0.207043,0.453441,0.350221,0.372893,0.010075,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00063,0.15748,0.019478,1.466077,0,4.997994,279.055712,85629.0624,334.877762,0.002,0.023686
0.068,0.099713,5.411486,149.139164,5.441294,149.960664,0.01048,0,0.01048,0,0.56877,15.675158,0.575786,1.867068,9.791353,0.694579,0,0,0,31.266509,8.379485,27.712667,0.112929,NaN,1.845753,NaN,0.023178,1515004.260058,4993.447,0.23183,0.45135,0.369645,0.370796,0.010079,0.070475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000667,0.15748,0.019478,1.466077,0,4.995292,279.055644,85628.950447,334.87772,0.002,0.024307
