# 30MPH-SA (Up to date)
# 3069 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (34.9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.53823,0.019182,9.590769,-0.000002,0,0.000002,3.141593,0.002005,1.002508,0.575786,1.867068,9.791353,1.467476,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.040706,2660763.925343,4.60824,0.002089,0.414699,0.00108,0.333959,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.633443,279.056292,85630.011309,334.878113,0.002,0.002465
0.004,-0.000018,-0.018492,-9.245816,0.018593,9.296744,-0.000002,0,0.000002,3.141593,0.001944,0.971774,0.575786,1.867068,9.791353,1.467433,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.040711,2661103.164773,13.82472,0.002092,0.414691,0.001081,0.333952,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.635121,279.056292,85630.011303,334.878113,0.002,0.003061
0.006,-0.000018,-0.017907,-8.953401,0.018005,9.002718,-0.000002,0,0.000002,3.141593,0.001882,0.94104,0.575786,1.867068,9.791353,1.46739,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.040716,2661442.409176,23.0412,0.002095,0.414683,0.001083,0.333944,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.636798,279.056292,85630.011297,334.878113,0.002,0.003628
0.008,-0.000017,-0.017322,-8.660984,0.017417,8.708692,-0.000002,0,0.000002,3.141593,0.001821,0.910306,0.575786,1.867068,9.791353,1.467347,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.040721,2661781.658552,32.25768,0.002099,0.414676,0.001084,0.333936,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.638475,279.056292,85630.01129,334.878113,0.002,0.004391
0.01,-0.000017,-0.016737,-8.368567,0.016829,8.414664,-0.000002,0,0.000002,3.141593,0.001759,0.879572,0.575786,1.867068,9.791353,1.467304,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.040726,2662120.912898,41.47416,0.002102,0.414668,0.001085,0.333928,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.640153,279.056292,85630.011284,334.878113,0.002,0.00494
0.012,-0.000016,-0.016152,-8.07615,0.016241,8.120635,-0.000002,0,0.000002,3.141593,0.001698,0.848838,0.575786,1.867068,9.791353,1.467261,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.040732,2662460.172212,50.69064,0.002105,0.41466,0.001087,0.333921,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.64183,279.056292,85630.011278,334.878113,0.002,0.005736
0.014,-0.000016,-0.015567,-7.783731,0.015653,7.826606,-0.000002,0,0.000002,3.141593,0.001636,0.818103,0.575786,1.867068,9.791353,1.467218,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.040737,2662799.436493,59.90712,0.002108,0.414653,0.001088,0.333913,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.643507,279.056292,85630.011272,334.878113,0.002,0.006336
0.016,-0.000015,-0.014983,-7.491311,0.015065,7.532575,-0.000002,0,0.000002,3.141593,0.001575,0.787369,0.575786,1.867068,9.791353,1.467175,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.040742,2663138.705738,69.1236,0.002111,0.414645,0.001089,0.333905,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.645184,279.056292,85630.011266,334.878113,0.002,0.006945
0.018,-0.000014,-0.014398,-7.19889,0.014477,7.238544,-0.000002,0,0.000002,3.141593,0.001513,0.756634,0.575786,1.867068,9.791353,1.467132,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.040747,2663477.979946,78.34008,0.002114,0.414637,0.00109,0.333898,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.646862,279.056292,85630.011259,334.878113,0.002,0.00736
0.02,-0.000014,-0.013813,-6.906469,0.013889,6.944511,-0.000001,0,0.000001,3.141593,0.001452,0.725899,0.575786,1.867068,9.791353,1.467089,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.040752,2663817.259116,87.55656,0.002117,0.41463,0.001092,0.33389,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.648539,279.056292,85630.011253,334.878113,0.002,0.007931
0.022,-0.000013,-0.013228,-6.614046,0.013301,6.650478,-0.000001,0,0.000001,3.141593,0.00139,0.695164,0.575786,1.867068,9.791353,1.467046,0,0,0,31.34548,8.458455,27.787735,0.113024,NaN,1.848141,NaN,0.040758,2664156.543244,96.77304,0.00212,0.414622,0.001093,0.333882,0.010179,0.070561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.650216,279.056292,85630.011247,334.878113,0.002,0.008337
